Datum;Blavinge kWh dag;Blavinge kWh manad;Blavinge kWh ar;Blavinge SEK dag;Blavinge SEK manad;Blavinge SEK ar;Ellie kWh dag;Ellie kWh manad;Ellie kWh ar;Ellie SEK dag;Ellie SEK manad;Ellie SEK ar;Total kWh dag;Total kWh manad;Total kWh ar;Total SEK dag;Total SEK manad;Total SEK ar
2026-08-11;23.82;43.59;43.58;60.59;96.78;96.78;27.4;273.5;3516.4;49.73;509.29;7503.37;51.867;71.372;71.371;103.59;139.05;139.05
2026-08-12;19.57;63.17;63.16;62.68;159.47;159.47;0;273.5;3516.4;0;509.29;7503.37;19.597;90.970;90.969;62.68;201.74;201.74
2026-08-13;23.89;87.06;87.05;87.47;246.94;246.94;0;273.5;3516.4;0;509.29;7503.37;23.927;114.897;114.896;87.51;289.25;289.25
2026-08-14;21.17;108.23;108.22;60.92;307.86;307.86;0;273.5;3516.4;0;509.29;7503.37;21.191;136.088;136.087;60.94;350.20;350.20
2026-08-15;24.91;133.14;133.14;49.68;357.55;357.55;33.4;306.9;3549.8;63.05;572.34;7566.42;58.36;194.46;194.46;113.27;463.47;463.47
2026-08-16;16.61;149.75;149.75;37.61;395.16;395.16;62.1;369.0;3611.9;115.27;687.61;7681.69;28.83;223.28;223.28;63.73;527.20;527.20
2026-08-17;17.26;167.01;167.00;71.62;466.78;466.78;14.2;383.2;3626.1;27.98;715.59;7709.67;17.292;240.575;240.574;71.71;598.91;598.91
2026-08-18;16.76;183.77;183.76;64.97;531.75;531.75;0;383.2;3626.1;0;715.59;7709.67;16.755;257.332;257.331;65.05;663.97;663.97
2026-08-19;25.08;208.86;208.85;100.45;632.25;632.25;27.2;410.4;3653.3;104.18;819.77;7813.85;52.366;309.710;309.709;204.73;868.74;868.74
2026-08-20;23.37;232.23;232.22;87.64;719.90;719.90;0;410.4;3653.3;0;819.77;7813.85;23.401;333.114;333.113;87.71;956.46;956.46
2026-08-21;14.19;246.42;246.41;50.21;770.12;770.12;44.8;455.2;3698.1;145.76;965.53;7959.61;59.625;392.741;392.740;198.61;1155.07;1155.07
2026-08-22;12.76;259.18;259.17;34.06;804.18;804.18;0;455.2;3698.1;0;965.53;7959.61;12.759;405.501;405.500;34.07;1189.14;1189.14
